Date,Open,High,Low,Close,Change,Amplitude,MA(7),MA(25),MA(99),Vol(USDT),RSI
2022-10-06,20158.26,20456.6,19853.0,19960.67,-0.0098,0.0299,19696.6,19612.45,21137.21,6453000000.0,57.22527813391783
2022-10-07,19960.67,20068.82,19320.0,19530.09,-0.0216,0.0375,19711.95,19497.82,21133.05,4354000000.0,52.8678208955224
2022-10-08,19530.09,19627.38,19237.14,19417.96,-0.0056999999999999,0.02,19727.24,19467.6,21134.44,1996000000.0,56.32865335782729
2022-10-09,19416.52,19558.0,19316.04,19439.02,0.0011,0.0125,19781.84,19436.09,21136.32,2215000000.0,58.22842195218542
2022-10-10,19439.96,19525.0,19020.25,19131.87,-0.0158,0.026,19710.81,19413.29,21134.46,4102000000.000001,48.71203558781916
2022-10-11,19131.87,19268.09,18860.0,19060.0,-0.0038,0.0213,19528.27,19383.56,21122.58,4643000000.0,49.737805128767405
2022-10-12,19060.0,19238.31,18965.88,19155.53,0.005,0.0143,19385.02,19345.24,21112.27,4087000000.0,46.22729765476304
2022-10-13,19155.1,19513.79,18190.0,19375.13,0.0115,0.0691,19301.37,19343.59,21100.26,7554000000.0,46.86478497739659
2022-10-14,19375.58,19951.87,19070.37,19176.93,-0.0102,0.0455,19250.92,19329.19,21075.53,6878000000.0,46.47021637309273
2022-10-15,19176.93,19227.68,18975.18,19069.39,-0.0056,0.0132,19201.12,19336.97,21050.02,2178000000.0,46.5252964631557
2022-10-16,19068.4,19425.84,19063.74,19262.98,0.0102,0.019,19175.98,19369.03,21026.5,2532000000.0,53.01836962950383
2022-10-17,19262.98,19676.96,19152.03,19549.86,0.0149,0.0273,19235.69,19374.96,21013.24,4332000000.0,48.734512878511936
2022-10-18,19548.48,19706.66,19091.0,19327.44,-0.0113999999999999,0.0315,19273.89,19376.46,21006.81,5066000000.0,30.89079698906839
2022-10-19,19327.44,19360.16,19065.97,19123.97,-0.0105,0.0152,19269.39,19384.6,21004.74,3575000000.0,30.613920325684873
2022-10-20,19123.35,19347.82,18900.0,19041.92,-0.0043,0.0233999999999999,19221.78,19393.98,20992.69,4276000000.0,31.99990595869241
2022-10-21,19041.92,19250.0,18650.0,19164.37,0.0064,0.0315,19219.99,19391.44,20978.31,5127000000.0,41.8509407559917
2022-10-22,19164.37,19257.0,19112.72,19204.35,0.0021,0.0075,19239.27,19396.45,20961.89,2117000000.0,45.082167244531014
2022-10-23,19204.29,19695.0,19070.11,19570.4,0.0191,0.0325,19283.19,19402.76,20945.47,3233000000.0,52.61008113541908
2022-10-24,19570.4,19601.15,19157.0,19329.72,-0.0123,0.0227,19251.74,19392.28,20930.64,4957000000.0,54.037244267051946
2022-10-25,19330.6,20415.87,19237.0,20080.07,0.0388,0.061,19359.26,19418.58,20906.87,6454000000.0,66.30134972305584
2022-10-26,20079.02,21020.0,20050.41,20771.59,0.0344,0.0483,19594.63,19477.01,20880.36,7834000000.0,71.69336175559359
2022-10-27,20771.61,20872.21,20200.0,20295.11,-0.0229,0.0324,19773.66,19526.54,20850.78,6771000000.0,61.552719217612726
2022-10-28,20295.11,20750.0,20000.09,20591.84,0.0146,0.037,19977.58,19565.05,20824.92,5850000000.0,67.33877589033841
2022-10-29,20591.84,21085.0,20554.01,20809.67,0.0106,0.0258,20206.91,19583.93,20805.98,5303000000.0,70.76468566846754
2022-10-30,20809.68,20931.21,20515.0,20627.48,-0.0088,0.02,20357.93,19602.69,20787.56,3994000000.0,66.32536347712893
2022-10-31,20627.48,20845.92,20237.95,20490.74,-0.0066,0.0295,20523.79,19623.9,20766.46,6226000000.0,61.67652037508626
2022-11-01,20490.74,20700.0,20330.74,20483.62,-0.0003,0.018,20581.44,19662.04,20758.1,5740000000.0,65.15848375829916
2022-11-02,20482.81,20800.0,20048.04,20151.84,-0.0162,0.0366999999999999,20492.9,19691.39,20746.96,7633000000.0,63.0375829221578
2022-11-03,20151.84,20393.32,20031.24,20207.82,0.0028,0.018,20480.43,19722.15,20719.24,6462000000.0,64.88681982083213
2022-11-04,20207.12,21302.05,20180.96,21148.52,0.0466,0.0555,20559.96,19802.81,20692.02,9410000000.0,70.95580391750968
2022-11-05,21148.52,21480.65,21080.65,21299.37,0.0070999999999999,0.0189,20629.91,19892.39,20667.03,5240000000.0,71.62043343653252
2022-11-06,21299.37,21365.27,20886.13,20905.58,-0.0185,0.0225,20669.64,19962.39,20639.37,4878000000.0,63.70050525987435
2022-11-07,20905.58,21069.77,20384.89,20591.13,-0.015,0.0327999999999999,20683.98,20011.03,20612.08,8035000000.0,62.75050490143558
2022-11-08,20590.67,20700.88,17166.83,18547.23,-0.0993,0.1716,20407.36,19985.84,20564.39,14758000000.0,37.71774630372143
2022-11-09,18545.38,18587.76,15588.0,15922.81,-0.1415,0.1617,19803.21,19859.98,20493.03,12738000000.0,20.336450930874463
2022-11-10,15922.68,18199.0,15754.26,17601.15,0.1054,0.1535,19430.83,19793.5,20440.33,10323000000.0,35.63193746653269
2022-11-11,17602.45,17695.0,16361.6,17070.31,-0.0302,0.0758,18848.23,19694.32,20384.24,6725000000.0,31.67574329295769
2022-11-12,17069.98,17119.1,16631.39,16812.08,-0.0151,0.0286,18207.18,19593.71,20318.58,2828000000.0,29.285660247913597
2022-11-13,16813.16,16954.28,16229.0,16329.85,-0.0287,0.0431,17553.51,19481.94,20251.67,3074000000.0,28.40250186695239
2022-11-14,16331.78,17190.0,15815.21,16619.46,0.0177,0.0842,16986.13,19385.04,20185.46,6274000000.0,30.83949698284735
2022-11-15,16617.72,17134.69,16527.72,16900.57,0.0169,0.0365,16750.89,19294.49,20115.67,4759000000.0,32.73433607389197
2022-11-16,16900.57,17015.92,16378.61,16662.76,-0.0141,0.0377,16856.6,19192.83,20050.14,4363000000.0,33.03349652702809
2022-11-17,16661.61,16751.0,16410.74,16692.56,0.0018,0.0204,16726.8,19077.72,19976.79,3785000000.0,32.862555674292736
2022-11-18,16692.56,17011.0,16546.04,16700.45,0.0005,0.0279,16673.96,18972.54,19903.72,3588000000.0,26.14533312882712
2022-11-19,16699.43,16822.41,16553.53,16700.68,0.0,0.0161,16658.05,18837.37,19825.91,1748000000.0,24.932598540225584
2022-11-20,16700.68,16753.33,16180.0,16280.23,-0.0252,0.0343,16650.96,18657.71,19743.48,2561000000.0,24.86034278657857
2022-11-21,16279.5,16319.0,15476.0,15781.29,-0.0306,0.0518,16531.22,18477.16,19657.38,5189000000.0,24.371576546814737
2022-11-22,15781.29,16315.0,15616.63,16226.94,0.0282,0.0443,16434.99,18302.57,19577.9,3824000000.0,35.098740615627676
2022-11-23,16227.96,16706.0,16160.2,16603.11,0.0232,0.0336,16426.47,18134.3,19504.65,4368000000.0,56.14288552182473
2022-11-24,16603.11,16812.63,16458.05,16598.95,-0.0003,0.0214,16413.09,17973.16,19436.53,3432000000.0,37.0286193543043
