Date,Open,High,Low,Close,Change,Amplitude,MA(7),MA(25),MA(99),Vol(BTC),Vol(USDT)
2021-04-14,63575.01,64854.0,61301.0,62959.53,-0.0097,0.0559,60340.88,57580.05,47874.73,82616.0,5239000000.0
2021-04-15,62959.53,63800.0,62020.0,63159.98,0.0032,0.028300000000000002,61066.94,57812.39,48141.3,51650.0,3249000000.0
2021-04-16,63158.74,63520.61,60000.0,61334.8,-0.028900000000000002,0.0557,61522.98,58102.45,48362.54,91764.0,5647000000.0
2021-04-17,61334.81,62506.05,59580.91,60006.66,-0.0217,0.04769999999999999,61556.91,58329.08,48558.74,58912.0,3606000000.0
2021-04-18,60006.67,60499.0,50931.3,56150.01,-0.0643,0.1594,61006.57,58482.93,48720.98,124882.0,6949000000.0
2021-04-19,57819.905,58787.619999999995,52130.630000000005,56287.505000000005,-0.025049999999999996,0.11334999999999999,60193.935,58597.705,48915.44500000001,98813.0,5493500000.0
2021-04-20,55633.14,57076.24,53329.96,56425.0,0.014199999999999999,0.0673,59381.3,58712.48,49109.91,72744.0,4038000000.0000005
2021-04-21,56425.0,56757.91,53536.02,53787.63,-0.0467,0.0571,58071.03,58631.3,49309.26,66985.0,3705000000.0
2021-04-22,53787.62,55521.48,50500.0,51690.96,-0.039,0.0934,56432.6,58467.84,49453.91,104657.0,5595000000.0
2021-04-23,51690.95,52131.85,47500.0,51125.14,-0.0109,0.08960000000000001,54974.08,58207.42,49574.92,132231.0,6571000000.0
2021-04-24,51110.56,51166.22,48657.14,50047.84,-0.021099999999999997,0.049100000000000005,53551.39,57859.47,49709.32,55362.0,2762000000.0
2021-04-25,50047.84,50567.91,46930.0,49066.77,-0.0196,0.0727,52539.5,57472.52,49841.36,58256.0,2868000000.0
2021-04-26,49066.76,54356.62,48753.44,54001.39,0.10060000000000001,0.1142,52306.39,57283.76,50024.92,86311.0,4556000000.0
2021-04-27,54001.38,55460.0,53222.0,55011.97,0.0187,0.0414,52104.53,57126.24,50210.59,54064.0,2950000000.0
2021-04-28,55011.97,56428.0,53813.16,54846.22,-0.003,0.0475,52255.76,57038.01,50402.05,55130.0,3020000000.0
2021-04-29,54846.23,55195.84,52330.94,53555.0,-0.0235,0.052199999999999996,52522.05,56852.13,50584.74,52486.0,2823000000.0
2021-04-30,53555.0,57963.0,53013.01,57694.27,0.07730000000000001,0.0924,53460.49,56794.7,50855.9,68579.0,3808000000.0
2021-05-01,57697.25,58458.07,56956.14,57800.37,0.0018,0.026000000000000002,54568.0,56787.07,51106.96,42600.0,2460000000.0
2021-05-02,57797.35,57911.02,56035.25,56578.21,-0.021099999999999997,0.0325,55641.06,56812.06,51354.44,36813.0,2089999999.9999998
2021-05-03,56578.21,58981.44,56435.0,57169.39,0.0104,0.045,56093.63,56775.74,51606.05,57650.0,3338000000.0
